sl,tp,fib_tol,symbol,win_rate,profit_factor,walk_forward
0.001,0.002,0.0005,GBPUSDm,0.16,0.39,0.0
0.001,0.002,0.001,GBPUSDm,0.16,0.39,0.0
0.001,0.002,0.0015,GBPUSDm,0.16,0.39,0.0
0.001,0.004,0.0005,GBPUSDm,0.03,0.11,0.0
0.001,0.004,0.001,GBPUSDm,0.03,0.11,0.0
0.001,0.004,0.0015,GBPUSDm,0.03,0.11,0.0
0.001,0.006,0.0005,GBPUSDm,0.03,0.17,0.0
0.001,0.006,0.001,GBPUSDm,0.03,0.17,0.0
0.001,0.006,0.0015,GBPUSDm,0.03,0.17,0.0
0.001,0.008,0.0005,GBPUSDm,0.03,0.22,0.0
0.001,0.008,0.001,GBPUSDm,0.03,0.22,0.0
0.001,0.008,0.0015,GBPUSDm,0.03,0.22,0.0
0.001,0.01,0.0005,GBPUSDm,0.0,0.0,0.0
0.001,0.01,0.001,GBPUSDm,0.0,0.0,0.0
0.001,0.01,0.0015,GBPUSDm,0.0,0.0,0.0
0.002,0.002,0.0005,GBPUSDm,0.41,0.69,0.0
0.002,0.002,0.001,GBPUSDm,0.41,0.69,0.0
0.002,0.002,0.0015,GBPUSDm,0.41,0.69,0.0
0.002,0.004,0.0005,GBPUSDm,0.13,0.31,0.0
0.002,0.004,0.001,GBPUSDm,0.13,0.31,0.0
0.002,0.004,0.0015,GBPUSDm,0.13,0.31,0.0
0.002,0.006,0.0005,GBPUSDm,0.13,0.46,0.0
0.002,0.006,0.001,GBPUSDm,0.13,0.46,0.0
0.002,0.006,0.0015,GBPUSDm,0.13,0.46,0.0
0.002,0.008,0.0005,GBPUSDm,0.13,0.62,0.0
0.002,0.008,0.001,GBPUSDm,0.13,0.62,0.0
0.002,0.008,0.0015,GBPUSDm,0.13,0.62,0.0
0.002,0.01,0.0005,GBPUSDm,0.07,0.38,0.0
0.002,0.01,0.001,GBPUSDm,0.07,0.38,0.0
0.002,0.01,0.0015,GBPUSDm,0.07,0.38,0.0
0.003,0.002,0.0005,GBPUSDm,0.69,1.5,0.0
0.003,0.002,0.001,GBPUSDm,0.69,1.5,0.0
0.003,0.002,0.0015,GBPUSDm,0.69,1.5,0.0
0.003,0.004,0.0005,GBPUSDm,0.33,0.67,0.0
0.003,0.004,0.001,GBPUSDm,0.33,0.67,0.0
0.003,0.004,0.0015,GBPUSDm,0.33,0.67,0.0
0.003,0.006,0.0005,GBPUSDm,0.33,1.0,0.0
0.003,0.006,0.001,GBPUSDm,0.33,1.0,0.0
0.003,0.006,0.0015,GBPUSDm,0.33,1.0,0.0
0.003,0.008,0.0005,GBPUSDm,0.33,1.33,0.0
0.003,0.008,0.001,GBPUSDm,0.33,1.33,0.0
0.003,0.008,0.0015,GBPUSDm,0.33,1.33,0.0
0.003,0.01,0.0005,GBPUSDm,0.2,0.83,0.0
0.003,0.01,0.001,GBPUSDm,0.2,0.83,0.0
0.003,0.01,0.0015,GBPUSDm,0.2,0.83,0.0
0.004,0.002,0.0005,GBPUSDm,0.82,2.25,0.0
0.004,0.002,0.001,GBPUSDm,0.82,2.25,0.0
0.004,0.002,0.0015,GBPUSDm,0.82,2.25,0.0
0.004,0.004,0.0005,GBPUSDm,0.5,1.0,0.0
0.004,0.004,0.001,GBPUSDm,0.5,1.0,0.0
0.004,0.004,0.0015,GBPUSDm,0.5,1.0,0.0
0.004,0.006,0.0005,GBPUSDm,0.5,1.5,0.0
0.004,0.006,0.001,GBPUSDm,0.5,1.5,0.0
0.004,0.006,0.0015,GBPUSDm,0.5,1.5,0.0
0.004,0.008,0.0005,GBPUSDm,0.5,2.0,0.0
0.004,0.008,0.001,GBPUSDm,0.5,2.0,0.0
0.004,0.008,0.0015,GBPUSDm,0.5,2.0,0.0
0.004,0.01,0.0005,GBPUSDm,0.33,1.25,0.0
0.004,0.01,0.001,GBPUSDm,0.33,1.25,0.0
0.004,0.01,0.0015,GBPUSDm,0.33,1.25,0.0
0.005,0.002,0.0005,GBPUSDm,0.9,3.6,0.0
0.005,0.002,0.001,GBPUSDm,0.9,3.6,0.0
0.005,0.002,0.0015,GBPUSDm,0.9,3.6,0.0
0.005,0.004,0.0005,GBPUSDm,0.67,1.6,0.0
0.005,0.004,0.001,GBPUSDm,0.67,1.6,0.0
0.005,0.004,0.0015,GBPUSDm,0.67,1.6,0.0
0.005,0.006,0.0005,GBPUSDm,0.67,2.4,0.0
0.005,0.006,0.001,GBPUSDm,0.67,2.4,0.0
0.005,0.006,0.0015,GBPUSDm,0.67,2.4,0.0
0.005,0.008,0.0005,GBPUSDm,0.67,3.2,0.0
0.005,0.008,0.001,GBPUSDm,0.67,3.2,0.0
0.005,0.008,0.0015,GBPUSDm,0.67,3.2,0.0
0.005,0.01,0.0005,GBPUSDm,0.5,2.0,0.0
0.005,0.01,0.001,GBPUSDm,0.5,2.0,0.0
0.005,0.01,0.0015,GBPUSDm,0.5,2.0,0.0
