,equity
2025-08-16 07:40:56.162000+00:00,10000.0
2025-08-16 08:40:56.162000+00:00,10000.0
2025-08-16 09:40:56.162000+00:00,10000.0
2025-08-16 10:40:56.162000+00:00,10000.0
2025-08-16 11:40:56.162000+00:00,10000.0
2025-08-16 12:40:56.162000+00:00,10000.0
2025-08-16 13:40:56.162000+00:00,10000.0
2025-08-16 14:40:56.162000+00:00,10000.0
2025-08-16 15:40:56.162000+00:00,10000.0
2025-08-16 16:40:56.162000+00:00,10000.0
2025-08-16 17:40:56.162000+00:00,10000.0
2025-08-16 18:40:56.162000+00:00,10000.0
2025-08-16 19:40:56.162000+00:00,10000.0
2025-08-16 20:40:56.162000+00:00,10000.0
2025-08-16 21:40:56.162000+00:00,10000.0
2025-08-16 22:40:56.162000+00:00,10000.0
2025-08-16 23:40:56.162000+00:00,10000.0
2025-08-17 00:40:56.162000+00:00,10000.0
2025-08-17 01:40:56.162000+00:00,10000.0
2025-08-17 02:40:56.162000+00:00,10500.0
2025-08-17 03:40:56.162000+00:00,10501.20863878455
2025-08-17 04:40:56.162000+00:00,10502.407517855681
2025-08-17 05:40:56.162000+00:00,10503.925251733104
2025-08-17 06:40:56.162000+00:00,10504.11004407828
2025-08-17 07:40:56.162000+00:00,10503.919279651021
2025-08-17 08:40:56.162000+00:00,10504.176304188348
2025-08-17 09:40:56.162000+00:00,10504.043390204555
2025-08-17 10:40:56.162000+00:00,10504.33959422543
2025-08-17 11:40:56.162000+00:00,10504.14965013912
2025-08-17 12:40:56.162000+00:00,10503.883953426084
2025-08-17 13:40:56.162000+00:00,10502.50546187689
2025-08-17 14:40:56.162000+00:00,10501.497530051854
2025-08-17 15:40:56.162000+00:00,10499.687975118037
2025-08-17 16:40:56.162000+00:00,10497.966698245262
2025-08-17 17:40:56.162000+00:00,10496.369550676669
2025-08-17 18:40:56.162000+00:00,10495.346679271104
2025-08-17 19:40:56.162000+00:00,10495.346679271104
2025-08-17 20:40:56.162000+00:00,10495.346679271104
2025-08-17 21:40:56.162000+00:00,10495.346679271104
2025-08-17 22:40:56.162000+00:00,11020.13532417215
2025-08-17 23:40:56.162000+00:00,11018.311770167178
2025-08-18 00:40:56.162000+00:00,11016.122038530699
2025-08-18 01:40:56.162000+00:00,11013.887347983695
2025-08-18 02:40:56.162000+00:00,11012.596824843222
2025-08-18 03:40:56.162000+00:00,11010.125503138108
2025-08-18 04:40:56.162000+00:00,11007.88956078805
2025-08-18 05:40:56.162000+00:00,11006.642209710191
2025-08-18 06:40:56.162000+00:00,11004.793912404515
2025-08-18 07:40:56.162000+00:00,11004.30018714642
2025-08-18 08:40:56.162000+00:00,11004.30018714642
2025-08-18 09:40:56.162000+00:00,11004.30018714642
2025-08-18 10:40:56.162000+00:00,11004.30018714642
2025-08-18 11:40:56.162000+00:00,11004.30018714642
2025-08-18 12:40:56.162000+00:00,11004.30018714642
2025-08-18 13:40:56.162000+00:00,11004.30018714642
2025-08-18 14:40:56.162000+00:00,11004.30018714642
2025-08-18 15:40:56.162000+00:00,11004.30018714642
2025-08-18 16:40:56.162000+00:00,11004.30018714642
2025-08-18 17:40:56.162000+00:00,11004.30018714642
2025-08-18 18:40:56.162000+00:00,11005.30018714642
2025-08-18 19:40:56.162000+00:00,11005.304543924467
2025-08-18 20:40:56.162000+00:00,11005.306372144716
2025-08-18 21:40:56.162000+00:00,11005.309362084447
2025-08-18 22:40:56.162000+00:00,11005.312312011081
2025-08-18 23:40:56.162000+00:00,11005.317906840828
2025-08-19 00:40:56.162000+00:00,11005.322558594793
2025-08-19 01:40:56.162000+00:00,11005.329332953888
2025-08-19 02:40:56.162000+00:00,11005.329332953888
2025-08-19 03:40:56.162000+00:00,11005.329332953888
2025-08-19 04:40:56.162000+00:00,11005.329332953888
2025-08-19 05:40:56.162000+00:00,11005.329332953888
2025-08-19 06:40:56.162000+00:00,11005.329332953888
2025-08-19 07:40:56.162000+00:00,11005.329332953888
2025-08-19 08:40:56.162000+00:00,11005.329332953888
2025-08-19 09:40:56.162000+00:00,11005.329332953888
2025-08-19 10:40:56.162000+00:00,11005.329332953888
2025-08-19 11:40:56.162000+00:00,11005.329332953888
2025-08-19 12:40:56.162000+00:00,11005.329332953888
2025-08-19 13:40:56.162000+00:00,11005.329332953888
2025-08-19 14:40:56.162000+00:00,11005.329332953888
2025-08-19 15:40:56.162000+00:00,11005.329332953888
2025-08-19 16:40:56.162000+00:00,11005.329332953888
2025-08-19 17:40:56.162000+00:00,11005.329332953888
2025-08-19 18:40:56.162000+00:00,11005.329332953888
2025-08-19 19:40:56.162000+00:00,11005.329332953888
2025-08-19 20:40:56.162000+00:00,11005.329332953888
2025-08-19 21:40:56.162000+00:00,11005.329332953888
2025-08-19 22:40:56.162000+00:00,11005.329332953888
2025-08-19 23:40:56.162000+00:00,11005.329332953888
2025-08-20 00:40:56.162000+00:00,11006.329332953888
